Word - The base word plus all the inflected forms for all parts of speech.			
FEL Rank - The rank based on frequency in sorted in descending order. Words with the same frequency are given the same rank.			
SFI - Standard Frequency Index (Carroll	 1971) A lognormal transformation of poportional frequency		
U - Estimated frequency per million words			

Word,FEL Rank,SFI,U
ounce,353,54.99,31.53
outer,92,61.5,141.35
outward,537,53.12,20.5
overhand,538,53.12,20.5
overhead,59,63.66,232.32
overtrain,445,53.89,24.52
oxidation,412,54.19,26.27
oxygen,137,59.59,91.07
pad,205,57.48,55.94
painful,480,53.61,22.97
palm,13,69.09,811.62
pants,392,54.39,27.51
peaceful,413,54.19,26.27
peanut,399,54.33,27.1
pedal,209,57.34,54.19
peel,172,58.49,70.67
pelvic,178,58.3,67.58
pelvis,94,61.46,139.91
pepper,546,53.03,20.09
periodization,463,53.73,23.59
perpendicular,441,53.93,24.73
personalize,572,52.87,19.37
phosphate,364,54.83,30.39
physically,278,56.11,40.8
physiological,416,54.18,26.17
physiology,256,56.41,43.79
physique,354,54.97,31.42
pigeon,142,59.38,86.64
pillow,120,60.12,102.71
pin,390,54.44,27.82
pinch,374,54.62,28.95
pinky,129,59.83,96.22
pivot,210,57.32,53.98
pizza,529,53.16,20.71
placebo,466,53.71,23.49
plank,19,67.45,556.33
plug,296,55.86,38.53
podcast,123,59.98,99.62
posterior,495,53.49,22.36
posture,40,64.72,296.3
potassium,573,52.85,19.27
powder,346,55.06,32.04
practitioner,499,53.45,22.15
prayer,124,59.97,99.31
pre,140,59.47,88.5
preacher,581,52.8,19.06
prenatal,539,53.12,20.5
prep,235,56.79,47.8
prevention,548,53.01,19.99
progression,456,53.78,23.9
prolong,433,53.98,25.03
prone,487,53.57,22.77
prop,121,60.08,101.89
protocol,386,54.47,28.02
publish,429,54.04,25.34
puff,582,52.8,19.06
pulldown,289,55.99,39.77
pulley,442,53.93,24.73
pullover,500,53.45,22.15
pulse,76,62.57,180.7
punch,150,59.14,82.01
puppy,383,54.51,28.23
pushup,286,56.01,39.87
pyramid,347,55.06,32.04
quad,82,62.18,165.25
quadricep,159,58.94,78.4
rack,264,56.3,42.65
recipe,251,56.49,44.61
recline,369,54.71,29.57
reconnect,530,53.16,20.71
relaxation,358,54.91,31.01
relieve,327,55.38,34.51
reminder,515,53.27,21.22
repetition / reps,9,70.44,1106.68
reset,342,55.13,32.56
restorative,483,53.59,22.87
retreat,408,54.21,26.37
revolve,501,53.43,22.05
rhythm,317,55.51,35.54
rib,87,61.76,149.9
ribcage,260,56.37,43.37
rigid,294,55.88,38.74
roller,378,54.57,28.64
rope,180,58.12,64.9
rotate,54,64.02,252.1
rotation,93,61.47,140.32
rotator,457,53.78,23.9
rub,446,53.89,24.52
runner,134,59.68,92.82
salad,348,55.04,31.94
saturate,488,53.57,22.77
scissors,391,54.41,27.61
scoop,183,58.08,64.29
sedentary,556,52.96,19.78
sensation,105,60.83,121.16
shallow,587,52.75,18.85
shavasana,174,58.47,70.26
shin,78,62.37,172.56
shove,443,53.93,24.73
shred,557,52.96,19.78
shrug,234,56.83,48.22
shuffle,164,58.82,76.13
sideways,417,54.18,26.17
simultaneously,588,52.75,18.85
skeletal,434,53.98,25.03
skip,168,58.62,72.73
skull,549,53.01,19.99
slap,525,53.18,20.81
slash,394,54.36,27.3
smith,242,56.73,47.08
smoothie,534,53.14,20.6
snack,309,55.64,36.68
snatch,541,53.1,20.4
socket,295,55.88,38.74
sodium,213,57.23,52.85
soften,69,63.15,206.36
sole,89,61.65,146.09
sore,194,57.71,59.03
soreness,490,53.55,22.67
spinal,182,58.09,64.39
spine,16,68.28,672.33
spiral,176,58.37,68.72
spiritual,405,54.25,26.58
sprint,285,56.02,39.97
squat,11,69.67,927.93
squeeze,14,68.94,783.91
stabilize,244,56.69,46.67
stack,81,62.18,165.35
stance,154,59.02,79.84
startup,231,56.87,48.63
static,189,57.93,62.12
stationary,363,54.86,30.6
sternum,216,57.19,52.34
steroid,589,52.75,18.85
stiff,547,53.03,20.09
stillness,226,56.94,49.45
straighten,62,63.45,221.5
strap,153,59.05,80.36
submission,590,52.75,18.85
subscribe,116,60.38,109.1
subtle,301,55.79,37.91
suck,266,56.24,42.03
sumo,366,54.75,29.88
super,37,64.99,315.36
superset,162,58.85,76.75
supine,319,55.47,35.23
supplementation,196,57.69,58.72
surrender,201,57.58,57.28
sway,276,56.14,41.11
sweat,132,59.73,93.96
sweaty,584,52.78,18.96
syndrome,502,53.43,22.05
synthesis,313,55.61,36.37
tablespoon,365,54.78,30.08
tabletop,146,59.29,84.89
tailbone,46,64.46,279.5
tech,583,52.8,19.06
tendon,388,54.46,27.92
tense,197,57.67,58.52
testosterone,345,55.1,32.35
therapist,287,56.01,39.87
thigh,12,69.42,875.29
thread,224,57,50.17
thrust,526,53.18,20.81
thumb,47,64.42,276.52
tighten,437,53.97,24.93
tightness,449,53.88,24.42
tilt,167,58.67,73.66
timer,239,56.75,47.29
tiptoe,507,53.37,21.74
toe,4,71.63,1456.55
ton,192,57.77,59.86
torso,34,65.22,332.77
towel,208,57.38,54.71
traction,236,56.78,47.7
trainer,149,59.15,82.32
transformation,551,52.98,19.88
treadmill,491,53.55,22.67
triangle,151,59.1,81.29
tricep,38,64.98,314.63
triglyceride,552,52.98,19.88
trunk,560,52.92,19.57
tuck,45,64.52,283.11
tug,585,52.78,18.96
twitch,397,54.34,27.2
