Rank,Word,SFI,U (Freq/million
781.,onto,61.14,130
479.,ooh,64.15,260
181.,open,68.6,725
699.,optional,61.79,151
40.,or,75.21,3316
450.,orange,64.47,280
436.,order,64.58,287
69.,other,72.7,1863
56.,out,73.88,2446
400.,outside,64.96,313
120.,over,70.44,1106
316.,own,65.94,393
256.,page,67.05,506
289.,paint,66.31,428
296.,pair,66.2,417
806.,pant,60.91,123
274.,paper,66.65,463
528.,paragraph,63.51,224
517.,parent,63.6,229
360.,park,65.51,356
210.,part,67.78,600
516.,partner,63.62,230
470.,party,64.23,265
665.,pass,62.22,167
474.,past,64.2,263
731.,pause,61.45,140
669.,pay,62.19,165
874.,peek,60.44,111
796.,pen,61.06,128
429.,pencil,64.65,292
861.,penguin,60.52,113
57.,people,73.63,2305
716.,perfect,61.57,143
734.,perhaps,61.44,139
279.,person,66.55,452
709.,pet,61.65,146
672.,phone,62.15,164
175.,photo,68.71,743
481.,pick,64.11,258
115.,picture,70.6,1147
322.,piece,65.9,389
692.,pig,61.89,155
812.,pizza,60.88,122
138.,place,69.89,975
416.,plan,64.8,302
695.,plane,61.83,152
328.,plant,65.84,384
64.,play,72.95,1972
829.,player,60.74,119
199.,please,68.05,639
865.,pocket,60.5,112
147.,point,69.6,912
501.,police,63.86,243
615.,poor,62.62,183
784.,popular,61.12,129
841.,possible,60.67,117
592.,potato,62.99,199
714.,power,61.61,145
418.,practice,64.79,301
786.,prepare,61.1,129
464.,present,64.26,267
604.,pretend,62.77,189
648.,pretty,62.37,172
834.,probably,60.71,118
361.,problem,65.49,354
770.,program,61.17,131
822.,promise,60.79,120
707.,protect,61.69,148
763.,provide,61.23,133
480.,pull,64.13,259
846.,purple,60.64,116
690.,push,61.89,155
123.,put,70.39,1095
595.,quack,62.93,196
145.,question,69.65,922
392.,quickly,65.11,324
677.,quiet,62.06,161
856.,quite,60.57,114
513.,race,63.68,234
367.,rain,65.42,348
727.,raise,61.5,141
590.,reach,63,199
104.,read,71.06,1276
257.,ready,66.98,499
465.,real,64.26,267
835.,realize,60.71,118
128.,really,70.14,1032
790.,reason,61.07,128
244.,red,67.29,535
340.,remember,65.7,372
305.,repeat,66.12,409
666.,reply,62.22,167
813.,report,60.86,122
562.,rest,63.25,211
685.,restaurant,61.96,157
619.,return,62.58,181
777.,review,61.15,130
708.,rice,61.65,146
678.,rich,62.04,160
327.,ride,65.85,385
93.,right,71.5,1413
424.,ring,64.72,296
385.,river,65.14,327
578.,road,63.08,203
817.,robot,60.83,121
352.,rock,65.61,364
602.,roll,62.82,192
157.,room,69.27,845
553.,rope,63.36,217
434.,round,64.59,288
793.,row,61.07,128
134.,run,69.98,995
338.,sad,65.73,374
607.,safe,62.72,187
228.,same,67.52,565
860.,sand,60.52,113
870.,sandwich,60.48,112
825.,Saturday,60.79,120
467.,save,64.25,266
19.,say,78.96,7867
679.,scare,62.04,160
136.,school,69.92,983
713.,scientist,61.62,145
741.,scissors,61.41,138
803.,scream,60.99,126
264.,sea,66.89,489
362.,second,65.47,353
802.,secret,61.01,126
33.,see,75.89,3882
437.,seem,64.58,287
606.,sell,62.74,188
482.,send,64.08,256
235.,sentence,67.33,541
858.,servant,60.55,114
477.,set,64.16,261
396.,seven,65,316
701.,several,61.73,149
401.,shake,64.95,313
715.,shall,61.59,144
502.,shape,63.85,242
412.,share,64.85,306
523.,shark,63.55,227
18.,she,79.47,8849
726.,sheep,61.51,142
399.,ship,64.98,315
569.,shirt,63.16,207
505.,shoe,63.83,242
499.,shop,63.87,244
462.,short,64.27,267
186.,should,68.39,691
799.,shoulder,61.04,127
324.,shout,65.9,389
133.,show,70.02,1004
664.,sick,62.26,168
318.,side,65.94,392
610.,sign,62.66,185
594.,simple,62.95,197
642.,since,62.42,175
105.,sing,70.97,1250
728.,sir,61.5,141
398.,sister,64.99,315
196.,sit,68.23,665
291.,six,66.3,427
814.,size,60.83,121
864.,skill,60.5,112
725.,skin,61.51,142
445.,sky,64.5,282
319.,sleep,65.94,392
584.,slow,63.06,202
557.,slowly,63.29,214
141.,small,69.77,948
644.,smell,62.41,174
240.,smile,67.3,537
737.,snack,61.44,139
670.,snake,62.19,165
585.,snow,63.06,202
43.,so,74.98,3144
531.,soccer,63.49,223
854.,sock,60.59,114
759.,soldier,61.32,135
66.,some,72.88,1940
282.,someone,66.53,449
112.,something,70.67,1167
359.,sometimes,65.52,356
593.,son,62.97,198
156.,song,69.28,848
254.,soon,67.05,507
372.,sorry,65.36,344
184.,sound,68.49,706
443.,space,64.51,283
212.,speak,67.75,595
348.,special,65.65,367
618.,spend,62.59,182
514.,sport,63.66,232
809.,square,60.88,122
850.,squeak,60.62,115
260.,stand,66.96,497
532.,star,63.48,223
153.,start,69.37,866
757.,station,61.32,135
273.,stay,66.69,467
408.,step,64.88,307
453.,stick,64.45,279
215.,still,67.72,591
441.,stomp,64.52,283
780.,stone,61.14,130
174.,stop,68.72,745
611.,store,62.66,185
170.,story,68.81,760
801.,straight,61.02,127
599.,strange,62.83,192
364.,street,65.46,351
358.,strong,65.53,357
51.,student,74.26,2670
373.,study,65.36,343
347.,such,65.66,368
591.,suddenly,62.99,199
683.,summer,61.97,157
414.,sun,64.84,305
185.,sure,68.47,704
409.,surprise,64.88,307
832.,sweet,60.73,118
288.,swim,66.37,434
833.,swing,60.73,118
873.,swish,60.46,111
320.,table,65.92,391
636.,tail,62.47,177
58.,take,73.61,2295
142.,talk,69.76,945
497.,tall,63.9,245
435.,teach,64.59,288
369.,teacher,65.38,345
287.,team,66.37,434
816.,teddy,60.83,121
82.,tell,72.01,1588
535.,ten,63.45,221
837.,terrible,60.71,118
764.,test,61.23,133
627.,text,62.54,179
158.,than,69.26,844
271.,thank,66.73,471
16.,that,80.11,10247
1.,the,87.64,58062
39.,then,75.3,3390
28.,there,76.49,4457
13.,they,80.8,12030
83.,thing,71.97,1575
47.,think,74.44,2781
22.,this,78.66,7338
687.,though,61.89,155
698.,thousand,61.79,151
95.,three,71.48,1407
189.,through,68.36,685
540.,throw,63.42,220
46.,time,74.52,2831
500.,tire,63.86,243
6.,to,84.46,27906
236.,today,67.32,540
506.,toe,63.82,241
176.,together,68.71,742
601.,tomorrow,62.82,192
77.,too,72.27,1687
613.,tooth,62.64,184
368.,top,65.39,346
646.,touch,62.38,173
444.,toward,64.5,282
302.,town,66.15,412
391.,toy,65.11,325
317.,train,65.94,393
428.,travel,64.67,293
575.,treat,63.11,205
164.,tree,69.1,812
625.,trick,62.55,180
635.,trip,62.47,177
831.,trouble,60.73,118
667.,truck,62.21,166
423.,true,64.72,296
124.,try,70.26,1062
154.,turn,69.36,863
849.,twenty,60.62,115
63.,two,73.29,2133
742.,type,61.39,138
650.,uncle,62.35,172
303.,under,66.13,410
297.,understand,66.18,415
859.,unit,60.53,113
388.,until,65.13,326
41.,up,75.11,3240
301.,upbeat,66.15,413
70.,use,72.64,1838
451.,usually,64.46,279
719.,vegetable,61.55,143
52.,very,74.25,2661
329.,video,65.84,384
643.,village,62.41,174
310.,visit,66.06,403
496.,voice,63.94,248
760.,vroom,61.32,135
190.,wait,68.33,680
654.,wake,62.32,171
131.,walk,70.03,1008
476.,wall,64.18,262
48.,want,74.38,2743
365.,warm,65.44,350
568.,wash,63.17,207
183.,watch,68.51,709
139.,water,69.88,973
577.,wave,63.09,204
106.,way,70.95,1245
17.,we,79.69,9304
242.,wear,67.29,536
529.,weather,63.5,224
378.,week,65.3,339
852.,weekend,60.6,115
662.,welcome,62.27,169
169.,well,68.86,770
869.,whale,60.48,112
23.,what,78.16,6547
697.,wheel,61.8,151
50.,when,74.27,2670
78.,where,72.26,1683
166.,which,69.07,806
283.,while,66.5,447
336.,white,65.76,377
68.,who,72.73,1874
415.,whoa,64.84,305
552.,whole,63.36,217
111.,why,70.75,1189
655.,wife,62.31,170
839.,wild,60.69,117
30.,will,76.36,4321
630.,win,62.5,178
542.,wind,63.41,219
466.,window,64.26,267
779.,wing,61.15,130
820.,winter,60.81,121
524.,wish,63.53,225
751.,witch,61.36,137
25.,with,77.78,6001
371.,without,65.36,344
255.,woman,67.05,506
563.,wonder,63.24,211
609.,wonderful,62.67,185
826.,wood,60.78,120
67.,word,72.74,1877
97.,work,71.39,1378
152.,world,69.43,877
345.,worry,65.67,369
94.,would,71.49,1410
126.,write,70.18,1043
459.,wrong,64.33,271
203.,yeah,67.97,626
125.,year,70.18,1043
422.,yellow,64.73,297
766.,yep,61.23,133
222.,yes,67.59,575
847.,yesterday,60.62,115
558.,yet,63.27,212
7.,you,83.73,23622
237.,young,67.31,538
556.,yourself,63.29,214
736.,yum,61.44,139
748.,zoo,61.38,137
