Lemma,SFI,Frequency
offer,62.386,3,645
date,60.009,3,645
grade,58.467,3,634
toward,62.125,3,620
war,65.220,3,619
throw,61.018,3,606
major,63.063,3,598
charge,62.898,3,597
rate,63.207,3,593
individual,61.891,3,590
music,64.069,3,571
doctor,61.929,3,544
husband,60.704,3,539
force,64.576,3,533
load,57.892,3,519
effect,62.322,3,514
wish,60.042,3,501
team,63.638,3,499
eleven,54.656,3,497
worth,60.396,3,494
brief,58.815,3,492
law,64.426,3,489
unless,59.816,3,457
future,62.742,3,453
behind,62.420,3,446
white,63.212,3,436
site,62.701,3,436
special,61.878,3,434
main,60.486,3,433
trouble,61.649,3,427
project,61.437,3,418
father,62.191,3,408
quality,60.033,3,404
themselves,62.480,3,403
sleep,59.639,3,395
share,62.254,3,378
available,60.523,3,373
hit,62.907,3,371
fair,60.609,3,368
news,65.123,3,365
strong,62.942,3,360
bottom,59.260,3,360
note,60.869,3,357
step,62.744,3,353
subject,60.416,3,351
clean,59.950,3,336
wife,61.453,3,335
machine,59.655,3,331
cool,59.562,3,328
drop,61.286,3,322
land,61.623,3,318
period,61.349,3,318
bother,57.734,3,316
development,60.555,3,312
detail,60.795,3,311
power,63.960,3,306
marry,59.939,3,306
tax,61.700,3,301
benefit,61.246,3,288
imagine,60.543,3,281
cold,60.059,3,281
vote,65.911,3,271
hang,59.572,3,268
education,61.772,3,260
anyone,60.955,3,254
national,63.458,3,247
fire,62.642,3,239
council,58.978,3,236
instead,61.101,3,230
bill,62.307,3,224
catch,60.994,3,208
tend,60.331,3,204
account,60.238,3,197
statement,61.053,3,192
board,60.775,3,181
summer,60.560,3,171
text,56.992,3,163
brother,60.303,3,162
fairly,59.288,3,150
holiday,59.740,3,143
dinner,58.427,3,141
fund,62.032,3,137
sister,59.064,3,127
noise,56.657,3,124
push,61.468,3,122
accept,60.838,3,111
police,63.013,3,108
kill,63.834,3,101
travel,61.421,3,090
explain,61.450,3,089
movie,63.261,3,076
hair,58.760,3,061
specific,59.779,3,055
tea,55.605,3,051
hate,59.446,3,050
center,61.743,3,044
degree,60.267,3,035
choose,61.059,3,028
research,61.868,3,024
body,61.600,3,023
rule,62.946,3,022
produce,61.148,3,017
size,59.254,3,010
ahead,62.721,3,007
fill,59.901,2,991
extra,58.836,2,980
value,61.343,2,976
bag,58.334,2,971
stage,60.898,2,969
eye,61.086,2,967
window,59.014,2,966
park,59.774,2,959
hot,59.896,2,957
document,60.114,2,950
relate,59.680,2,949
several,62.829,2,948
itself,61.366,2,948
evening,59.725,2,948
product,60.804,2,945
wonderful,60.661,2,935
relationship,61.605,2,930
floor,59.331,2,913
hospital,60.722,2,912
plus,58.671,2,912
quick,59.440,2,905
lady,58.992,2,889
mile,60.771,2,878
aware,58.969,2,876
contact,58.985,2,863
single,60.866,2,860
copy,57.992,2,856
effort,62.304,2,810
trade,61.391,2,809
review,59.629,2,809
sale,60.301,2,806
totally,59.207,2,802
therefore,59.048,2,788
air,62.571,2,781
church,61.271,2,777
visit,62.111,2,776
awful,57.668,2,766
action,62.089,2,760
completely,60.322,2,750
affect,61.209,2,745
cheap,58.312,2,745
street,62.087,2,734
receive,60.929,2,734
require,60.493,2,734
red,59.535,2,726
focus,62.205,2,708
surprise,61.402,2,708
apply,59.313,2,707
correct,60.138,2,706
various,59.399,2,700
bet,58.343,2,689
purpose,58.740,2,686
normally,57.751,2,686
create,63.299,2,682
bus,58.557,2,682
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
